,purchase,total_events,unique_products,unique_categories,active_hours,view_count,cart_count,session_count,avg_session_duration,cart_event_ratio,cart_per_product
727,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
21031,non_purchase,11,1,1,53.006388888888885,11,0,1,3180.383333333333,0.0,0.0
30907,non_purchase,4,3,1,0.036944444444444446,3,1,1,2.216666666666667,0.25,0.3333333333333333
26593,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
5288,non_purchase,3,2,1,0.02666666666666667,3,0,1,1.6,0.0,0.0
25312,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
1246,non_purchase,3,2,1,0.04055555555555555,2,1,1,2.433333333333333,0.3333333333333333,0.5
22799,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
24482,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
20524,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
8411,non_purchase,3,2,1,0.01361111111111111,3,0,2,0.4083333333333333,0.0,0.0
3743,non_purchase,3,3,1,0.0022222222222222222,3,0,1,0.13333333333333333,0.0,0.0
16015,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
30181,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
28103,non_purchase,13,2,2,40.35472222222222,13,0,2,1210.6416666666667,0.0,0.0
8578,non_purchase,3,1,1,0.1388888888888889,3,0,2,4.166666666666667,0.0,0.0
17665,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
4001,non_purchase,3,3,1,0.06055555555555556,3,0,1,3.6333333333333333,0.0,0.0
22855,non_purchase,2,2,2,0.02722222222222222,2,0,1,1.6333333333333333,0.0,0.0
38801,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
36253,non_purchase,15,3,1,29.538333333333334,15,0,1,1772.3,0.0,0.0
14882,non_purchase,3,2,1,0.014166666666666666,3,0,1,0.85,0.0,0.0
3935,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
38301,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
22591,non_purchase,6,6,1,58.89,6,0,1,3533.4,0.0,0.0
17712,non_purchase,2,2,1,0.06916666666666667,2,0,1,4.15,0.0,0.0
33669,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
12540,non_purchase,2,1,1,0.021111111111111112,2,0,1,1.2666666666666666,0.0,0.0
28149,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
13571,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
29254,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
14225,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
11982,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
20515,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
10636,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
1513,non_purchase,8,1,1,102.86527777777778,8,0,1,6171.916666666667,0.0,0.0
35779,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
18261,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
2029,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
32712,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
19571,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
29146,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
22794,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
35843,non_purchase,2,1,1,0.0008333333333333334,2,0,2,0.025,0.0,0.0
30299,non_purchase,2,1,1,0.0008333333333333334,2,0,1,0.05,0.0,0.0
34660,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
6271,non_purchase,3,2,1,0.15,3,0,3,2.9999999999999996,0.0,0.0
21775,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
27615,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
17430,non_purchase,3,2,1,0.04,3,0,1,2.4,0.0,0.0
18536,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
35479,non_purchase,5,1,1,0.060833333333333336,5,0,1,3.6500000000000004,0.0,0.0
37270,non_purchase,2,2,1,0.0075,2,0,1,0.44999999999999996,0.0,0.0
3918,non_purchase,5,1,1,48.67111111111111,5,0,3,973.4222222222221,0.0,0.0
9652,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
38866,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
38441,non_purchase,13,10,2,0.3163888888888889,13,0,1,18.983333333333334,0.0,0.0
25908,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
20595,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
38157,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
33952,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
25013,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
26412,non_purchase,2,2,2,109.63,2,0,2,3288.8999999999996,0.0,0.0
29216,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
29371,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
12129,non_purchase,4,3,1,0.011111111111111112,4,0,1,0.6666666666666667,0.0,0.0
35680,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
638,non_purchase,3,2,2,0.9583333333333334,3,0,2,28.75,0.0,0.0
16274,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
38758,non_purchase,3,2,1,0.019444444444444445,3,0,2,0.5833333333333334,0.0,0.0
24449,non_purchase,2,1,1,0.015555555555555555,2,0,1,0.9333333333333333,0.0,0.0
8124,non_purchase,3,1,1,0.03027777777777778,2,1,1,1.8166666666666667,0.3333333333333333,1.0
18424,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
20241,non_purchase,4,3,1,0.12694444444444444,4,0,2,3.808333333333333,0.0,0.0
295,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
24961,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
30803,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
14589,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
20764,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
15023,non_purchase,2,2,2,0.009444444444444445,2,0,1,0.5666666666666667,0.0,0.0
